File,Title Length,Title Status,Description Length,Desc Status,Current Title,Current Description,Suggested Title Fix,Suggested Description Fix
"12-month-neet-dropper-study-plan-complete-guide.mdx",54,TOO SHORT,156,OK,"12-Month NEET Dropper Study Plan 2026 | Complete Guide","Detailed 12-month study plan for NEET droppers. Month-wise targets; daily schedule; subject distribution; and mock test strategy for guaranteed improvement.","Add 1 chars - expand with year/details",""
"5-month-neet-2026-study-plan-january-may.mdx",62,TOO LONG,140,TOO SHORT,"5-Month NEET 2026 Study Plan (Jan-May) | Score 340+ in Biology","Complete 5-month NEET 2026 study plan (Jan-May). Daily schedules; mock test strategy; revision cycles. Used by 247 AIIMS selections in 2024.","Remove 2 chars - shorten descriptions/remove pipes","Add 15 chars - add details/examples/year"
"affordable-mbbs-maharashtra-under-50-lakhs.mdx",57,OK,170,TOO LONG,"Affordable MBBS Maharashtra 2026: Under Rs 50 Lakhs Total","Complete guide to affordable medical colleges in Maharashtra under Rs 50 Lakhs total cost. Terna (Rs 37.5L); SMBT (Rs 40L) & 15+ NMC approved options with honest reviews.","","Remove 10 chars - condense/remove redundancy"
"affordable-mbbs-under-50-lakhs-india-2026.mdx",54,TOO SHORT,172,TOO LONG,"Affordable MBBS Under ₹50 Lakhs 2026 | Budget Colleges","Complete list of affordable private MBBS colleges under ₹50 Lakhs total cost. NMC approved; fee breakdown; hidden costs; loan options for budget-friendly medical education.","Add 1 chars - expand with year/details","Remove 12 chars - condense/remove redundancy"
"aiims-new-delhi-complete-guide-campus-life.mdx",56,OK,149,TOO SHORT,"AIIMS Delhi Complete Guide 2026 | Campus; Career & USMLE","Complete guide to AIIMS New Delhi - campus life; hostel facilities; USMLE trends; career prospects; alumni success & life after graduating from India","","Add 6 chars - add details/examples/year"
"all-aiims-india-complete-guide-2026.mdx",67,TOO LONG,147,TOO SHORT,"All AIIMS in India 2026 - Complete Guide | Seats; Cutoffs; Rankings","Complete guide to all 25 AIIMS institutes in India for 2026. MBBS seats; NEET cutoffs; fees; NIRF rankings; facilities; pros & cons for each AIIMS.","Remove 7 chars - shorten descriptions/remove pipes","Add 8 chars - add details/examples/year"
"allen-vs-aakash-vs-pw-comparison-2026.mdx",65,TOO LONG,161,TOO LONG,"Allen vs Aakash vs PW 2026 - Why Mass Coaching Fails NEET Biology","Allen; Aakash; Physics Wallah comparison 2026. Why factory-model coaching fails Biology students. Cerebrum offers AIIMS faculty; 30-student batches; 98% success.","Remove 5 chars - shorten descriptions/remove pipes","Remove 1 chars - condense/remove redundancy"
"best-ai-tools-apps-neet-preparation-2026.mdx",72,TOO LONG,154,TOO SHORT,"Best AI Tools & Apps for NEET 2026 Preparation: Complete Digital Toolkit","Discover the best AI tools and apps for NEET 2026 preparation. From doubt-solving AI to spaced repetition apps — build the ultimate digital study toolkit.","Remove 12 chars - shorten descriptions/remove pipes","Add 1 chars - add details/examples/year"
"best-books-for-neet-2026-biology-physics-chemistry.mdx",68,TOO LONG,143,TOO SHORT,"Best Books for NEET 2026: Complete Subject-wise Book List by Toppers","Discover the best books for NEET 2026 preparation. Expert-recommended Biology; Physics; and Chemistry books used by NEET toppers to score 650+.","Remove 8 chars - shorten descriptions/remove pipes","Add 12 chars - add details/examples/year"
"best-neet-coaching-delhi-ncr-2026-comparison.mdx",59,OK,164,TOO LONG,"Best NEET Coaching in Delhi NCR 2026 — Top Centers Compared","Find the best NEET coaching in Delhi NCR. Compare top centers; faculty quality; batch sizes; results; fees; and make an informed decision for your NEET preparation.","","Remove 4 chars - condense/remove redundancy"
"best-neet-coaching-delhi-ncr-comparison.mdx",50,TOO SHORT,154,TOO SHORT,"Best NEET Coaching Delhi NCR 2026 | Fees & Results","Find the best NEET coaching in Delhi; Noida; Gurugram; Faridabad. Compare fees; batch size; faculty; and results of top coaching institutes for NEET 2026.","Add 5 chars - expand with year/details","Add 1 chars - add details/examples/year"
"best-private-medical-colleges-maharashtra-2026.mdx",58,OK,145,TOO SHORT,"Private Medical Colleges Maharashtra 2026 | Fees & Cutoffs","Complete guide to top private MBBS colleges in Maharashtra with NEET 2025 cutoffs; fees (Rs 7-35L/year); DMER counselling; and admission process.","","Add 10 chars - add details/examples/year"
"biology-diagram-practice-neet.mdx",60,OK,194,TOO LONG,"50 Must-Know Biology Diagrams for NEET 2026 | Complete Guide","Master the 50 most important biology diagrams for NEET 2026. Learn diagram identification; drawing techniques; labeling strategies & test-taking patterns used by top scorers to gain 75-90 marks.","","Remove 34 chars - condense/remove redundancy"
"biology-mnemonics-neet-preparation.mdx",52,TOO SHORT,176,TOO LONG,"Biology Mnemonics for NEET 2026 - 100+ Memory Tricks","Master 100+ proven biology mnemonics for NEET 2026. Learn creative memory tricks for taxonomy; physiology; genetics & ecology. Increase retention by 60% with tested strategies.","Add 3 chars - expand with year/details","Remove 16 chars - condense/remove redundancy"
"biomolecules-neet-biology-complete-guide.mdx",53,TOO SHORT,171,TOO LONG,"Biomolecules NEET 2026 Notes | Complete Chapter Guide","Complete NEET Biology notes on Biomolecules. Master carbohydrates; proteins; lipids; nucleic acids and enzymes with structures; functions; diagrams and PYQs for NEET 2026.","Add 2 chars - expand with year/details","Remove 11 chars - condense/remove redundancy"
"biotechnology-neet-simplified-complete-guide.mdx",72,TOO LONG,187,TOO LONG,"Biotechnology NEET Guide: Simplified PCR; Cloning; Bt Cotton | 16+ Marks","Complete Biotechnology guide for NEET 2026 simplified: Recombinant DNA technology; PCR steps; restriction enzymes; vectors; Bt cotton; insulin production; gene therapy. Score 16-24 marks.","Remove 12 chars - shorten descriptions/remove pipes","Remove 27 chars - condense/remove redundancy"
"body-fluids-circulation-neet.mdx",55,OK,171,TOO LONG,"Body Fluids & Circulation NEET 2026 | Heart; Blood; ECG","Complete NEET Biology notes on Body Fluids and Circulation. Learn blood composition; heart anatomy; cardiac cycle; ECG interpretation with diagrams and PYQs for NEET 2026.","","Remove 11 chars - condense/remove redundancy"
"breathing-gas-exchange-neet-notes.mdx",51,TOO SHORT,166,TOO LONG,"Breathing & Gas Exchange NEET 2026 | Complete Guide","Complete NEET Biology notes on Breathing and Exchange of Gases. Learn respiratory system; gas transport; oxygen-hemoglobin curve with diagrams and PYQs for NEET 2026.","Add 4 chars - expand with year/details","Remove 6 chars - condense/remove redundancy"
"career-options-after-12th-pcb-complete-guide.mdx",56,OK,175,TOO LONG,"Career Options After 12th PCB 2026 | Entrance Exam Guide","50+ career options for PCB students beyond MBBS. Complete entrance exam guide with exam dates; syllabus; cutoffs for NEET; CUET; ICAR AIEEA; IIT JAM; BITSAT and more for 2026.","","Remove 15 chars - condense/remove redundancy"
"cbse-biology-board-exam-preparation-2026.mdx",91,TOO LONG,207,TOO LONG,"CBSE Biology Board Exam 2026 — Chapter-Wise Weightage; Tips to Score 95+ | Cerebrum Academy","Complete CBSE Class 12 Biology board exam 2026 preparation guide. Chapter-wise marks distribution; diagram practice tips; NCERT mastery strategy; and how to score 95+ while preparing for NEET simultaneously.","Remove 31 chars - shorten descriptions/remove pipes","Remove 47 chars - condense/remove redundancy"
"cell-division-mitosis-meiosis-neet.mdx",75,TOO LONG,144,TOO SHORT,"Cell Division NEET Notes 2026 | Mitosis; Meiosis; Cell Cycle Complete Guide","Comprehensive NEET Biology notes on Cell Division. Learn cell cycle phases; mitosis stages; meiosis I & II with diagrams; differences; and PYQs.","Remove 15 chars - shorten descriptions/remove pipes","Add 11 chars - add details/examples/year"
"cell-structure-function-neet-notes.mdx",73,TOO LONG,151,TOO SHORT,"Cell Structure and Function NEET Notes 2026 | Complete Cell Biology Guide","Comprehensive NEET Biology notes on Cell Structure and Function. Learn cell theory; organelles; prokaryotic vs eukaryotic cells with diagrams and PYQs.","Remove 13 chars - shorten descriptions/remove pipes","Add 4 chars - add details/examples/year"
"class-11-biology-neet-complete-foundation.mdx",0,,0,,"MISSING","MISSING","",""
"class-11-biology-neet-foundation-guide.mdx",36,TOO SHORT,157,OK,"Class 11 Biology Foundation for NEET","Complete guide to mastering Class 11 Biology for NEET with chapter breakdown; study strategy; and connection to Class 12 topics. Build your foundation early.","Add 19 chars - expand with year/details",""
"class-11-biology-neet-foundation-strategy.mdx",67,TOO LONG,156,OK,"Class 11 Biology for NEET: Foundation Strategy & Chapter Guide 2026","Complete Class 11 Biology guide for NEET preparation. Learn chapter breakdown; study plan; time allocation; and master the foundation for NEET 2026 success.","Remove 7 chars - shorten descriptions/remove pipes",""
"class-12-biology-board-neet-dual-preparation.mdx",61,TOO LONG,160,OK,"Class 12 Biology: Board + NEET Dual Preparation Strategy 2026","Master Class 12 Biology for both board exams and NEET. Learn chapter overlap; prioritization strategy; daily schedule; and insider tips from 95%+ board scorers.","Remove 1 chars - shorten descriptions/remove pipes",""
"common-mistakes-neet-aspirants-avoid-2026.mdx",67,TOO LONG,153,TOO SHORT,"15 Common Mistakes NEET Aspirants Make | Avoid These for 650+ Score","Learn the 15 most common mistakes NEET aspirants make and how to avoid them. Expert guidance to prevent preparation pitfalls and score 650+ in NEET 2026.","Remove 7 chars - shorten descriptions/remove pipes","Add 2 chars - add details/examples/year"
"cracking-the-code-of-neet-exam-success.mdx",63,TOO LONG,148,TOO SHORT,"Cracking the Code of NEET Exam Success: Complete Blueprint 2026","Decode the secrets of NEET exam success. Learn the strategies; study patterns; and mindset shifts that transform average students into NEET toppers.","Remove 3 chars - shorten descriptions/remove pipes","Add 7 chars - add details/examples/year"
"delhi-ncr-medical-colleges-review-sharda-santosh-sgt-hamdard-2026.mdx",76,TOO LONG,157,OK,"Sharda vs Santosh vs SGT vs Hamdard Review 2026 | Delhi NCR Medical Colleges","Honest review of Delhi NCR medical colleges - Sharda; Santosh; SGT; Hamdard; Subharti. Compare infrastructure; fees (₹18-23L); hospital; faculty & placement.","Remove 16 chars - shorten descriptions/remove pipes",""
"do-or-die-chapters-neet-2026-biology.mdx",78,TOO LONG,150,TOO SHORT,"Do or Die Chapters NEET 2026 Biology - Score 340+ with These Must-Learn Topics","Complete list of Do or Die chapters for NEET 2026 Biology. High-yield topics that guarantee 70-80 questions. Expert strategy to score 340+ in Biology.","Remove 18 chars - shorten descriptions/remove pipes","Add 5 chars - add details/examples/year"
"dps-students-neet-preparation-guide.mdx",67,TOO LONG,134,TOO SHORT,"DPS Students NEET Preparation Guide 2026: Excel in Medical Entrance","Complete NEET preparation guide for DPS students. Balance school activities; leverage CBSE curriculum; and ace medical entrance exams.","Remove 7 chars - shorten descriptions/remove pipes","Add 21 chars - add details/examples/year"
"dropper-batch-vs-regular-batch-comparison.mdx",66,TOO LONG,153,TOO SHORT,"Dropper Batch vs Regular Batch for NEET 2026 - Complete Comparison","Should droppers join dropper batch or regular batch? Detailed comparison of teaching pace; batch composition; fees; and success rates to help you decide.","Remove 6 chars - shorten descriptions/remove pipes","Add 2 chars - add details/examples/year"
"dropper-case-studies-480-to-650-score-improvement.mdx",72,TOO LONG,154,TOO SHORT,"NEET Dropper Success Stories: 480 to 650+ Score Improvement Case Studies","Real case studies of NEET droppers who improved 100-200 marks in their drop year. Detailed strategies; study plans; and lessons from successful repeaters.","Remove 12 chars - shorten descriptions/remove pipes","Add 1 chars - add details/examples/year"
"dropper-mental-health-guide-handling-pressure-motivation.mdx",69,TOO LONG,173,TOO LONG,"NEET Dropper Mental Health Guide 2026 - Managing Anxiety & Motivation","Essential mental health guide for NEET droppers. Learn to handle pressure; manage anxiety; deal with social stigma; and stay motivated throughout your drop year preparation.","Remove 9 chars - shorten descriptions/remove pipes","Remove 13 chars - condense/remove redundancy"
"dy-patil-medical-college-pune-mumbai-kolhapur-comparison.mdx",62,TOO LONG,141,TOO SHORT,"DY Patil Medical College: Pune vs Navi Mumbai vs Kolhapur 2026","Compare DY Patil Medical College campuses - Pune (Rs 32L); Navi Mumbai (Rs 28L); Kolhapur (Rs 22L). Fees; cutoffs; infrastructure comparison.","Remove 2 chars - shorten descriptions/remove pipes","Add 14 chars - add details/examples/year"
"excretory-system-neet-notes.mdx",73,TOO LONG,139,TOO SHORT,"Excretory System NEET Notes 2026 | Kidney; Nephron; Urine Formation Guide","Complete NEET Biology notes on Excretory System. Learn kidney anatomy; nephron structure; urine formation mechanism with diagrams and PYQs.","Remove 13 chars - shorten descriptions/remove pipes","Add 16 chars - add details/examples/year"
"future-of-neet-coaching-india-2026-expert-analysis.mdx",68,TOO LONG,142,TOO SHORT,"Future of NEET Coaching India 2026-2030: Expert Trends & Predictions","Expert analysis by Dr. Shekhar on future of NEET coaching: AI; hybrid learning; small batches; regional expansion; outcome-based pricing. What","Remove 8 chars - shorten descriptions/remove pipes","Add 13 chars - add details/examples/year"
"genetics-for-neet-mendel-to-molecular-biology.mdx",66,TOO LONG,150,TOO SHORT,"Genetics for NEET 2026: Mendel to Molecular Biology Complete Guide","Complete NEET Genetics guide covering Mendelian inheritance; molecular basis of inheritance; evolution; and previous year analysis with practice MCQs.","Remove 6 chars - shorten descriptions/remove pipes","Add 5 chars - add details/examples/year"
"genetics-heredity-variation-neet.mdx",33,TOO SHORT,154,TOO SHORT,"Genetics NEET Notes 2026 | Mendel","Complete NEET Biology notes on Principles of Inheritance and Variation. Learn Mendelian genetics; chromosomal basis; linkage; genetic disorders with PYQs.","Add 22 chars - expand with year/details","Add 1 chars - add details/examples/year"
"genetics-molecular-biology-neet-complete-guide.mdx",67,TOO LONG,168,TOO LONG,"Genetics & Molecular Biology NEET Guide: 8-12 Questions = 40+ Marks","Complete Genetics & Molecular Biology guide for NEET 2026. Master DNA replication; transcription; translation; Mendelian laws; and inheritance patterns for 32-48 marks.","Remove 7 chars - shorten descriptions/remove pipes","Remove 8 chars - condense/remove redundancy"
"how-to-avoid-silly-mistakes-neet-exam.mdx",63,TOO LONG,149,TOO SHORT,"How to Avoid Silly Mistakes in NEET Exam 2026: Save 20-40 Marks","Stop losing marks to silly mistakes in NEET. 15 proven exam-hall techniques to avoid careless errors in bubbling; calculations; and question reading.","Remove 3 chars - shorten descriptions/remove pipes","Add 6 chars - add details/examples/year"
"how-to-improve-neet-score-400-to-600-strategy.mdx",71,TOO LONG,179,TOO LONG,"How to Improve NEET Score from 400 to 600+ in 90 Days - Proven Strategy","Step-by-step 90-day plan to jump from 400 to 600+ in NEET. Subject-wise strategy; daily timetable; chapter priority list; and common mistakes to avoid. Works for average students.","Remove 11 chars - shorten descriptions/remove pipes","Remove 19 chars - condense/remove redundancy"
"how-to-score-320-plus-neet-biology.mdx",59,OK,153,TOO SHORT,"How to Score 320+ in NEET Biology - Complete Strategy Guide","Master the art of scoring 320+ in NEET Biology with our comprehensive guide covering chapter priorities; NCERT reading techniques; and topper strategies.","","Add 2 chars - add details/examples/year"
"how-to-score-340-plus-in-neet-biology-expert-strategy.mdx",63,TOO LONG,165,TOO LONG,"How to Score 340+ in NEET Biology 2026 — Expert Strategy & Tips","Step-by-step strategy to score 340+ in NEET Biology. Month-by-month plan; NCERT mastery; PYQ analysis; diagram practice; and mock test techniques from AIIMS faculty.","Remove 3 chars - shorten descriptions/remove pipes","Remove 5 chars - condense/remove redundancy"
"how-to-score-360-in-neet-biology.mdx",61,TOO LONG,160,OK,"How to Score 360/360 in NEET Biology 2026 — Complete Strategy","Proven strategy to score 360/360 in NEET Biology. Chapter-wise plan; daily schedule; PYQ analysis; and expert tips from Dr. Shekhar at Cerebrum Biology Academy.","Remove 1 chars - shorten descriptions/remove pipes",""
"how-to-score-600-plus-in-neet-2026.mdx",63,TOO LONG,181,TOO LONG,"How to Score 600+ in NEET 2026 - Complete Strategy & Study Plan","Learn how to score 600+ marks in NEET 2026 with proven strategies. Subject-wise tips; daily timetable; mock test schedule & expert guidance for government medical college admission.","Remove 3 chars - shorten descriptions/remove pipes","Remove 21 chars - condense/remove redundancy"
"how-to-score-700-plus-in-neet.mdx",67,TOO LONG,154,TOO SHORT,"How to Score 700+ in NEET 2026 - Topper Strategy & Complete Roadmap","Learn how to score 700+ in NEET 2026 with proven strategies from AIIMS toppers. Includes daily schedule; subject-wise approach; and month-wise study plan.","Remove 7 chars - shorten descriptions/remove pipes","Add 1 chars - add details/examples/year"
"how-to-stay-motivated-during-neet-preparation.mdx",67,TOO LONG,158,OK,"How to Stay Motivated During NEET Preparation: 12 Proven Strategies","Struggling with motivation during NEET prep? 12 science-backed strategies to maintain drive; overcome slumps; and stay consistent throughout your preparation.","Remove 7 chars - shorten descriptions/remove pipes",""
"human-digestion-absorption-neet.mdx",80,TOO LONG,148,TOO SHORT,"Human Digestion and Absorption NEET Notes 2026 | Complete Digestive System Guide","Comprehensive NEET Biology notes on Digestion and Absorption. Learn digestive system anatomy; enzymes; absorption mechanisms with diagrams and PYQs.","Remove 20 chars - shorten descriptions/remove pipes","Add 7 chars - add details/examples/year"
"human-physiology-neet-complete-guide-50-marks.mdx",65,TOO LONG,189,TOO LONG,"Human Physiology NEET Guide: 12-15 Questions = 50+ Marks Strategy","Complete Human Physiology guide for NEET 2026. Master all 5 systems (digestion; respiration; circulation; excretion; neural) with diagrams; NCERT strategy; and scoring tips for 48-60 marks.","Remove 5 chars - shorten descriptions/remove pipes","Remove 29 chars - condense/remove redundancy"
"human-physiology-neet-complete-notes.mdx",74,TOO LONG,158,OK,"Human Physiology NEET Notes PDF - Complete 7 Chapters with Diagrams (2026)","Download Human Physiology notes for NEET. All 7 chapters covered with diagrams; tables; mnemonics. Highest-weightage unit contributing 14-16 questions yearly.","Remove 14 chars - shorten descriptions/remove pipes",""
"human-reproduction-neet-notes-complete-guide.mdx",71,TOO LONG,146,TOO SHORT,"Human Reproduction NEET Notes 2026 | Gametogenesis; Fertilization Guide","Complete Human Reproduction notes for NEET 2026. Learn gametogenesis; fertilization; pregnancy & development with NCERT diagrams and PYQ analysis.","Remove 11 chars - shorten descriptions/remove pipes","Add 9 chars - add details/examples/year"
"important-biology-diagrams-neet-complete-list.mdx",63,TOO LONG,187,TOO LONG,"50 Important NEET Biology Diagrams 2026: Complete Mastery Guide","Master 50 critical NEET Biology diagrams with 5-step practice method. 20-25% Biology questions are diagram-based (60-80 marks). Includes heart; nephron; brain; flower; all NCERT diagrams.","Remove 3 chars - shorten descriptions/remove pipes","Remove 27 chars - condense/remove redundancy"
"kota-vs-online-neet-coaching-2026.mdx",48,TOO SHORT,149,TOO SHORT,"Kota vs Online NEET Coaching 2026: Honest Parent","Complete comparison of Kota vs online NEET coaching. Real costs; success rates; mental health impact; and expert recommendations for parents in 2026.","Add 7 chars - expand with year/details","Add 6 chars - add details/examples/year"
"last-6-months-neet-2026-preparation-strategy.mdx",65,TOO LONG,145,TOO SHORT,"Last 6 Months NEET 2026 Strategy: Month-by-Month Preparation Plan","Complete 6-month NEET 2026 preparation strategy with detailed daily schedule; subject-wise plan; revision techniques; and tips from NEET toppers.","Remove 5 chars - shorten descriptions/remove pipes","Add 10 chars - add details/examples/year"
"maharashtra-mbbs-counselling-dmer-guide-2026.mdx",54,TOO SHORT,153,TOO SHORT,"Maharashtra MBBS Counselling 2026: DMER Complete Guide","Complete guide to DMER Maharashtra MBBS counselling 2026 - registration process; documents; choice filling strategy; seat allotment; and important dates.","Add 1 chars - expand with year/details","Add 2 chars - add details/examples/year"
"management-nri-quota-mbbs-admission-guide-2026.mdx",65,TOO LONG,153,TOO SHORT,"Management & NRI Quota MBBS 2026 | Complete Fee & Admission Guide","Complete guide to Management Quota (₹20-35L) & NRI Quota ($25-40K) MBBS admission 2026. Legal process; eligibility; fee comparison; scam prevention tips.","Remove 5 chars - shorten descriptions/remove pipes","Add 2 chars - add details/examples/year"
"medical-colleges-pune-complete-guide-2026.mdx",59,OK,146,TOO SHORT,"Top 10 Medical Colleges Pune 2026: Fees; Cutoffs & Rankings","Complete guide to best medical colleges in Pune with fees (Rs 8L-32L/year); NEET cutoffs; government vs private comparison; and admission process.","","Add 9 chars - add details/examples/year"
"mistakes-to-avoid-during-neet-preparation.mdx",70,TOO LONG,160,OK,"Mistakes to Avoid During NEET Preparation 2026: Parent & Student Guide","10 critical NEET preparation mistakes that cost students a year or more. A comprehensive guide for both parents and students on what NOT to do during NEET prep.","Remove 10 chars - shorten descriptions/remove pipes",""
"mock-test-strategy-neet-2026-complete-guide.mdx",74,TOO LONG,143,TOO SHORT,"Mock Test Strategy for NEET 2026: Complete Guide to Score 650+ Using Mocks","Learn the proven mock test strategy for NEET 2026. Discover how to take; analyze; and improve from mocks. Expert tips to jump from 450 to 650+.","Remove 14 chars - shorten descriptions/remove pipes","Add 12 chars - add details/examples/year"
"most-important-topics-neet-physics-chemistry-biology.mdx",80,TOO LONG,162,TOO LONG,"Most Important Topics for NEET 2026: Physics; Chemistry & Biology Priority Guide","Complete list of most important topics for NEET 2026 in all three subjects. Chapter-wise weightage analysis; high-yield topics; and smart prioritization strategy.","Remove 20 chars - shorten descriptions/remove pipes","Remove 2 chars - condense/remove redundancy"
"ncert-line-by-line-biology-neet-guide.mdx",35,TOO SHORT,96,TOO SHORT,"NCERT Line-by-Line for NEET Biology","Complete guide to reading NCERT for NEET Biology with exam-critical concepts and practical tips.","Add 20 chars - expand with year/details","Add 59 chars - add details/examples/year"
"ncert-line-by-line-reading-strategy-neet.mdx",65,TOO LONG,178,TOO LONG,"NCERT Line-by-Line Reading for NEET 2026: Complete Strategy Guide","Complete NCERT line-by-line reading strategy for NEET 2026. Master annotation; chapter priorities; 3-revision cycle; time management for 600+ score. Used by AIR Top 100 students.","Remove 5 chars - shorten descriptions/remove pipes","Remove 18 chars - condense/remove redundancy"
"ncert-reading-strategy-neet-biology-2026.mdx",66,TOO LONG,158,OK,"NCERT Reading Strategy for NEET Biology 2026: Line-by-Line Mastery","Learn the proven NCERT reading strategy for NEET Biology. Discover how toppers read NCERT line-by-line to score 340+ in Biology. Complete guide with examples.","Remove 6 chars - shorten descriptions/remove pipes",""
"neet-2026-biology-paper-analysis.mdx",80,TOO LONG,152,TOO SHORT,"NEET 2026 Biology Paper Analysis - Chapter-wise Questions; Difficulty & Insights","Detailed NEET 2026 Biology paper analysis with chapter-wise breakdown; difficulty level; most asked topics; and key learnings for NEET 2026 preparation.","Remove 20 chars - shorten descriptions/remove pipes","Add 3 chars - add details/examples/year"
"neet-2026-biology-syllabus-complete-guide.mdx",66,TOO LONG,141,TOO SHORT,"NEET 2026 Biology Syllabus - Complete Chapter-Wise Weightage Guide","Official NEET 2026 Biology syllabus with chapter-wise weightage analysis. Complete guide to all Class 11 and 12 topics with preparation tips.","Remove 6 chars - shorten descriptions/remove pipes","Add 14 chars - add details/examples/year"
"neet-2026-complete-guide-exam-pattern-syllabus-dates.mdx",78,TOO LONG,151,TOO SHORT,"NEET 2026 Complete Guide: Exam Pattern; Syllabus; Dates | Official Information","Complete NEET 2026 guide with exam pattern; syllabus; important dates; eligibility criteria; and expert preparation strategy. Updated for NEET UG 2026.","Remove 18 chars - shorten descriptions/remove pipes","Add 4 chars - add details/examples/year"
"neet-2026-complete-preparation-guide-ai-optimized.mdx",77,TOO LONG,161,TOO LONG,"NEET 2026 Complete Preparation Guide: Exam Pattern; Syllabus; Strategy & Tips","Complete NEET 2026 preparation guide with exam details; syllabus breakdown; subject-wise strategy; best books; and month-by-month timeline to score 650+ in NEET.","Remove 17 chars - shorten descriptions/remove pipes","Remove 1 chars - condense/remove redundancy"
"neet-2026-difficulty-level-cutoff-prediction-analysis.mdx",73,TOO LONG,175,TOO LONG,"NEET 2026 Difficulty Level Prediction & Expected Cutoff - Expert Analysis","NEET 2026 difficulty level prediction with category-wise cutoff analysis. Expert insights on expected paper pattern; marking trends; and rank vs marks data for all categories.","Remove 13 chars - shorten descriptions/remove pipes","Remove 15 chars - condense/remove redundancy"
"neet-2026-exam-pattern-changes-explained.mdx",68,TOO LONG,168,TOO LONG,"NEET 2026 Pattern Changes: 180 Questions; No Choice | Complete Guide","NMC announces NEET 2026 pattern changes: 180 compulsory questions (no internal choice); updated syllabus; stronger security. Complete analysis and preparation strategy.","Remove 8 chars - shorten descriptions/remove pipes","Remove 8 chars - condense/remove redundancy"
"neet-2026-exam-pattern-changes.mdx",56,OK,130,TOO SHORT,"NEET 2026 Exam Pattern & Latest Changes - Complete Guide","Master NEET 2026 exam pattern; marking scheme; syllabus changes. Learn how this year differs from 2025 with our detailed analysis.","","Add 25 chars - add details/examples/year"
"neet-2026-expected-questions-predictions.mdx",74,TOO LONG,177,TOO LONG,"NEET 2026 Expected Questions - Chapter-wise Predictions & Important Topics","NEET 2026 expected questions based on 10-year trend analysis. Get chapter-wise predictions; most repeated topics; and high-probability questions for Biology; Physics; Chemistry.","Remove 14 chars - shorten descriptions/remove pipes","Remove 17 chars - condense/remove redundancy"
"neet-2026-month-by-month-roadmap-complete.mdx",0,,0,,"MISSING","MISSING","",""
"neet-2026-preparation-timeline-class-12.mdx",61,TOO LONG,127,TOO SHORT,"NEET 2026 Class 12 Preparation Timeline | Month-by-Month Plan","NEET 2026 study schedule for Class 12 students: February to May plan; board exam balance; mock test strategy; final month prep.","Remove 1 chars - shorten descriptions/remove pipes","Add 28 chars - add details/examples/year"
"neet-2026-registration-guide-step-by-step.mdx",62,TOO LONG,158,OK,"NEET 2026 Registration: Step-by-Step Guide | Dates & Documents","Complete NEET 2026 registration guide with exact dates; document checklist; eKYC process; fee details; and common mistakes. Registration closes March 8; 2026.","Remove 2 chars - shorten descriptions/remove pipes",""
"neet-2026-result-analysis-cutoff-trends.mdx",65,TOO LONG,153,TOO SHORT,"NEET 2026 Result Analysis - Cutoff Trends & Admission Predictions","Complete NEET 2026 result analysis with category-wise cutoffs; state-wise college admission trends; score vs rank data; and MBBS counselling predictions.","Remove 5 chars - shorten descriptions/remove pipes","Add 2 chars - add details/examples/year"
